News Org,Project,Project URL,Story URL,Description
ProPublica,Dollars for Docs,http://projects.propublica.org/docdollars/,http://www.propublica.org/article/as-full-disclosure-nears-doctors-pay-for-drug-talks-plummets,Scraped multiple pharmaceutical company websites as well as troves of PDF files to get the data behind this app. ProPublica ended up working on two open source projects to help make this easier: Upton (for web scraping with Ruby) and Tabula (for scraping PDFs). Upton (http://www.propublica.org/nerds/item/upton-a-web-scraping-framework) and Tabula (http://tabula.nerdpower.org).
ProPublica,China’s Memory Hole: The Images Erased From Sina Weibo,https://projects.propublica.org/weibo/,http://www.propublica.org/article/how-to-get-censored-on-chinas-twitter,"Full methodology (http://www.propublica.org/article/how-we-observed-censorship-on-sina-weibo). Using Python and MongoDB, ProPublica scraped the Weibo API constantly to save what users were posted, and then scraped the API again to compare and see if the old posts still existed after several minutes, hours or days."
Washington Post,Syrian civil war: A rising death count,http://www.washingtonpost.com/wp-srv/special/world/syrian-uprising-one-year-of-bloodshed/index.html,,"Using BeautifulSoup and Python, this project scraped a Syrian site which was updated daily with the total count of deaths during the Syrian civil war. The site itself wasn't in English, and the table read from right to left, which was an interesting challenge. But after the scraper was written, we ran it daily to automatically power the bar chart in the graphic."
Washington Post,Olympians,http://www.washingtonpost.com/wp-srv/special/sports/olympic-ages/,,"After getting permission from the source, Sports-Reference.com, this project scraped the relevant data about each Olympics athlete who competed in the summer games since 1896. Then we aggregated the information to create this data visualization."
Washington Post,Tracking power outages in Washington region,http://www.washingtonpost.com/wp-srv/special/local/power-outage-status/2014/july-8/,,"Every time a wave of power outages happen in DC, the Post creates a new instance of this project, which is setup to automatically scrape the electric company websites for outage information."
